"","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y"
"140199","Spatula discors","Sherwood Park--Heritage Wetlands Park",2,"2017-09-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4829215.189829,2161734.57221178
"140200","Spatula discors","(53.533, -113)",20,"2017-09-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4845119.09186674,2156409.97251289
"140207","Spatula discors","Edmonton--Rundle Park",1,"2017-09-17","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-17,"AB",4822643.21051849,2167741.46580311
"140208","Spatula discors","Red Deer--Three Mile Bend Recreation Area",1,"2017-09-30","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-30,"AB",4751263.53751835,2046271.90297161
"140209","Spatula discors","Sherwood Park--Heritage Wetlands Park",2,"2017-09-17","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-17,"AB",4829215.189829,2161734.57221178
"140215","Spatula discors","Atim Creek; RR271",2,"2017-10-19","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4794260.63916834,2181145.29662989
"140220","Spatula discors","Sherwood Park--Heritage Wetlands Park",2,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4829215.189829,2161734.57221178
"140221","Spatula discors","Spring Lake",3,"2017-09-16","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-16,"AB",4774906.38974578,2179865.93754734
"140229","Spatula discors","Fleming Slough",6,"2017-08-18","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-18,"AB",4738166.35400019,2030641.43314428
"140233","Spatula discors","NW corner Bittern Lake Reed Bed",8,"2017-09-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4821781.69407516,2113682.04293387
"140236","Spatula discors","West of Elk Island",5,"2017-09-23","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-23,"AB",4848510.56062637,2171185.6719995
"140240","Spatula discors","Sherwood Park--Heritage Wetlands Park",1,"2017-09-05","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-05,"AB",4829215.189829,2161734.57221178
"140244","Spatula discors","Sherwood Park--Heritage Wetlands Park",1,"2017-09-25","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4829215.189829,2161734.57221178
"140249","Spatula discors","Murray Marsh",20,"2017-09-26","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-26,"AB",4800299.87118808,2194819.77332181
"140254","Spatula discors","Big Lake--Interpretive Trail",2,"2017-10-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-04,"AB",4802492.51142093,2180418.91111363
"140258","Spatula discors","Red Deer--Slacks Slough",1,"2017-08-25","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-25,"AB",4745647.8497245,2035946.69442631
"140268","Spatula discors","Marsh on RR 272",3,"2017-08-26","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-26,"AB",4739423.76512009,2004147.12431748
"140272","Spatula discors","Aspen Beach Provincial Park",NA,"2017-08-07","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-07,"AB",4744610.5374752,2067062.92435145
"140276","Spatula discors","Big Lake--John E. Poole Wetland",5,"2017-09-22","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-22,"AB",4807710.94890133,2178877.29683856
"140282","Spatula discors","Edmonton--William Hawrelak Park",7,"2017-09-17","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-17,"AB",4810883.43313614,2167937.84162364
"140288","Spatula discors","Cooking Lake",14,"2017-09-27","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-27,"AB",4837650.63291609,2145286.9641471
"140291","Spatula discors","Sherwood Park--Heritage Wetlands Park",1,"2017-09-25 08:50","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4829215.189829,2161734.57221178
"140294","Spatula discors","Colony Farm",2,"2017-09-23 16:40","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-23,"BC",4036921.78543782,1991624.36401619
"140296","Spatula discors","St. Albert--Lois Hole Centennial Provincial Park",16,"2017-10-19","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4807401.37223811,2178791.99745322
"140306","Spatula discors","Ellis Bird Farm",2,"2017-08-10","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-10,"AB",4765403.54340959,2051504.66183058
"140310","Spatula discors","Big Lake--Viewing Platform",1,"2017-10-21","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4807240.16786741,2179656.28638218
"140311","Spatula discors","Beaver Hills UNESCO Biosphere",2,"2017-09-07","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-07,"AB",4846644.50321409,2155561.12707151
"140313","Spatula discors","CA-Alberta-Wimborne - 51.903x-113.737 - 17 Jul 2016 14:22",6,"2017-08-18","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-18,"AB",4739346.46378125,2003860.55618598
"140317","Spatula discors","Cooking Lake",50,"2017-09-03","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-03,"AB",4837650.63291609,2145286.9641471
"140321","Spatula discors","Burnaby Lake--Piper Spit",1,"2017-09-12 15:00","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-12,"BC",4028596.65530307,1997016.23038674
"140329","Spatula discors","Spring Lake",3,"2017-09-30","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-30,"AB",4774906.38974578,2179865.93754734
"140330","Spatula discors","Iona Island (general)",2,"2017-09-13 10:49","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-13,"BC",4009818.07842358,2004433.93434014
"140342","Spatula discors","Red Deer--Gaetz Lake Sanctuary",18,"2017-08-19","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-19,"AB",4749853.39320755,2044739.78212284
"140343","Spatula discors","St. Albert--Riverlot 56",7,"2017-09-28","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-28,"AB",4813357.60604882,2182174.14810267
"140363","Spatula discors","St. Albert--Lynx Pond",3,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4807908.48736596,2181661.37252453
"140368","Spatula discors","Lacombe sewage lagoons",6,"2017-08-27","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-27,"AB",4762709.01057993,2062027.30308424
"140371","Spatula discors","Rge Rd 234 north of Twp Rd 500",7,"2017-09-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4816685.40942467,2137833.54053109
"140382","Spatula discors","Murray Marsh",3,"2017-09-02","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-02,"AB",4800299.87118808,2194819.77332181
"140396","Spatula discors","The Narrows PRA",5,"2017-08-14","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-08-14,"AB",4802874.80332808,2045411.4960761
"140400","Spatula discors","St. Albert--Riel Wetlands--Nadeau Pond",8,"2017-09-11","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-11,"AB",4807695.453169,2179166.99048015
"140401","Spatula discors","Coal Lake",4,"2017-09-25","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4812456.33078019,2106637.17755864
"140402","Spatula discors","124 Leva Avenue, Red Deer County, Alberta, CA (52.205, -113.818)",13,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4745425.47273818,2036994.77885191
"145357","Stercorarius parasiticus","Iona Island--South Jetty",3,"2017-10-24 08:13","Parasitic Jaeger","ncbi","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius","Stercorariidae","Charadriiformes",2017-10-24,"BC",4005689.06048973,2004698.27222793
"145363","Stercorarius parasiticus","UBC--Cecil Green & Museum of Anthropology grounds",1,"2017-11-17 09:00","Parasitic Jaeger","ncbi","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius","Stercorariidae","Charadriiformes",2017-11-17,"BC",4009212.63565946,2010916.31887203
"145371","Stercorarius parasiticus","Iona Island--South Jetty",2,"2017-09-15 09:51","Parasitic Jaeger","ncbi","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius","Stercorariidae","Charadriiformes",2017-09-15,"BC",4005689.06048973,2004698.27222793
"145374","Stercorarius parasiticus","UBC--Cecil Green & Museum of Anthropology grounds",1,"2017-11-17 09:00","Parasitic Jaeger","ncbi","Stercorarius parasiticus","Stercorarius parasiticus","Stercorarius","Stercorariidae","Charadriiformes",2017-11-17,"BC",4009212.63565946,2010916.31887203
"145405","Sterna forsteri","Aspen Beach Provincial Park",8,"2017-08-25","Forster's Tern","ncbi","Sterna forsteri","Sterna forsteri","Sterna","Laridae","Charadriiformes",2017-08-25,"AB",4744610.5374752,2067062.92435145
"145415","Sterna forsteri","Manning / 167 Ave",1,"2017-08-10","Forster's Tern","ncbi","Sterna forsteri","Sterna forsteri","Sterna","Laridae","Charadriiformes",2017-08-10,"AB",4824057.74924515,2174500.79034096
"145417","Sterna forsteri","Hastings Lake",1,"2017-08-27","Forster's Tern","ncbi","Sterna forsteri","Sterna forsteri","Sterna","Laridae","Charadriiformes",2017-08-27,"AB",4845861.88902041,2142693.01732848
"145423","Sterna forsteri","Edmonton--Beaumaris Lake",2,"2017-08-07","Forster's Tern","ncbi","Sterna forsteri","Sterna forsteri","Sterna","Laridae","Charadriiformes",2017-08-07,"AB",4816831.67141919,2176080.54585633
"145431","Sterna forsteri","The Narrows PRA",3,"2017-08-14","Forster's Tern","ncbi","Sterna forsteri","Sterna forsteri","Sterna","Laridae","Charadriiformes",2017-08-14,"AB",4802874.80332808,2045411.4960761
"145437","Sterna forsteri","Haunted Lakes",8,"2017-08-07","Forster's Tern","ncbi","Sterna forsteri","Sterna forsteri","Sterna","Laridae","Charadriiformes",2017-08-07,"AB",4794959.76008704,2042558.67306473
"145439","Sterna hirundo","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",1,"2017-09-14 13:00","Common Tern","ncbi","Sterna hirundo","Sterna hirundo","Sterna","Laridae","Charadriiformes",2017-09-14,"BC",4022690.72560239,1977113.38447305
"145442","Sterna hirundo","Sylvan Lake",2,"2017-08-20","Common Tern","ncbi","Sterna hirundo","Sterna hirundo","Sterna","Laridae","Charadriiformes",2017-08-20,"AB",4731928.19307904,2054472.94848751
"145446","Sterna hirundo","Haunted Lakes",5,"2017-08-07","Common Tern","ncbi","Sterna hirundo","Sterna hirundo","Sterna","Laridae","Charadriiformes",2017-08-07,"AB",4794959.76008704,2042558.67306473
"145447","Sterna hirundo","Aspen Beach Provincial Park",3,"2017-08-25","Common Tern","ncbi","Sterna hirundo","Sterna hirundo","Sterna","Laridae","Charadriiformes",2017-08-25,"AB",4744610.5374752,2067062.92435145
"145451","Sterna hirundo","West Vancouver--Whytecliff",3,"2017-09-23 08:06","Common Tern","ncbi","Sterna hirundo","Sterna hirundo","Sterna","Laridae","Charadriiformes",2017-09-23,"BC",4012757.40145669,2022083.55072134
"148971","Synthliboramphus antiquus","UBC--Cecil Green & Museum of Anthropology grounds",2,"2017-11-17 09:00","Ancient Murrelet","ncbi","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes",2017-11-17,"BC",4009212.63565946,2010916.31887203
"148997","Synthliboramphus antiquus","UBC--Cecil Green & Museum of Anthropology grounds",2,"2017-11-17 09:00","Ancient Murrelet","ncbi","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes",2017-11-17,"BC",4009212.63565946,2010916.31887203
"149001","Synthliboramphus antiquus","Vancouver--Tower Beach",7,"2018-01-03 14:50","Ancient Murrelet","ncbi","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes",2018-01-03,"BC",4010750.27328705,2011259.98795858
"149003","Synthliboramphus antiquus","UBC--Cecil Green & Museum of Anthropology grounds",3,"2018-01-05 10:40","Ancient Murrelet","ncbi","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes",2018-01-05,"BC",4009212.63565946,2010916.31887203
"149015","Synthliboramphus antiquus","Tsawwassen Ferry Terminal Jetty",11,"2017-12-03 12:27","Ancient Murrelet","ncbi","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes",2017-12-03,"BC",4005067.09485163,1981047.1476271
"149023","Synthliboramphus antiquus","South Surrey--Kwomais Point Park",2,"2017-11-09 09:32","Ancient Murrelet","ncbi","Synthliboramphus antiquus","Synthliboramphus antiquus","Synthliboramphus","Alcidae","Charadriiformes",2017-11-09,"BC",4021582.26965647,1973681.75888793
"150913","Tringa flavipes","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",1,"2017-09-15 15:24","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-15,"BC",4022690.72560239,1977113.38447305
"150915","Tringa flavipes","Greater St Albert area",1,"2017-09-29","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-29,"AB",4809156.34243748,2180908.48391457
"150934","Tringa flavipes","Abbotsford--Willband Creek Park",2,"2017-10-28 15:00","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-10-28,"BC",4061974.44569012,1957980.72499229
"150938","Tringa flavipes","St. Albert--Riel Wetlands--Nadeau Pond",2,"2017-09-11","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-11,"AB",4807695.453169,2179166.99048015
"150941","Tringa flavipes","Sherwood Park--Centennial Park",1,"2017-09-02","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-02,"AB",4827184.60042997,2165297.74075336
"150980","Tringa flavipes","Sherwood Park--Centennial Park",1,"2017-09-04","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-04,"AB",4827184.60042997,2165297.74075336
"150993","Tringa flavipes","Marsh on RR 272",1,"2017-08-26","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-08-26,"AB",4739423.76512009,2004147.12431748
"150998","Tringa flavipes","Reifel Bird Sanctuary",4,"2017-09-27 13:00","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-27,"BC",4005117.17973462,1991652.37070744
"151027","Tringa flavipes","Sherwood Park--Centennial Park",8,"2017-09-10","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-10,"AB",4827184.60042997,2165297.74075336
"151028","Tringa flavipes","Edmonton--Poplar Lake",8,"2017-09-13","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-13,"AB",4820083.58561711,2177456.85863384
"151034","Tringa flavipes","Sherwood Park--Centennial Park",2,"2017-09-05","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-05,"AB",4827184.60042997,2165297.74075336
"151057","Tringa flavipes","Edmonton--Poplar Lake",8,"2017-09-13 16:02","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-13,"AB",4820083.58561711,2177456.85863384
"151062","Tringa flavipes","Sherwood Park--Heritage Wetlands Park",2,"2017-09-28","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-28,"AB",4829215.189829,2161734.57221178
"151065","Tringa flavipes","St. Albert--Riel Wetlands--Nadeau Pond",1,"2017-09-01","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-01,"AB",4807695.453169,2179166.99048015
"151091","Tringa flavipes","CA-Alberta-Wimborne - 51.903x-113.737 - 17 Jul 2016 14:22",30,"2017-08-18","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-08-18,"AB",4739346.46378125,2003860.55618598
"151096","Tringa flavipes","Red Deer--Gaetz Lake Sanctuary",1,"2017-08-19","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-08-19,"AB",4749853.39320755,2044739.78212284
"151116","Tringa flavipes","Sherwood Park--Heritage Wetlands Park",7,"2017-09-10","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-09-10,"AB",4829215.189829,2161734.57221178
"151129","Tringa flavipes","Lacombe sewage lagoons",NA,"2017-08-27","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-08-27,"AB",4762709.01057993,2062027.30308424
"151131","Tringa flavipes","Aspen Beach Provincial Park",10,"2017-08-07","Lesser Yellowlegs","ncbi","Tringa flavipes","Tringa flavipes","Tringa","Scolopacidae","Charadriiformes",2017-08-07,"AB",4744610.5374752,2067062.92435145
